projid,external_management,client_base,risk,contract_type,Contractor_type,Delivery_model,state,jv,Sector,Profit Center Lock indicator,recur_revenue,Service_focus,Contract_type2,actual_margin,original_bid_margin,Days,start_year,Bid_margin_per_day
109,no,Private Sector,1,1,1,1,Newfoundland & Labr.,no,Red,yes,N,5,Type 1,5261359.84,2890293.04,0,2015, -   
110,no,Private Sector,2,1,1,1,Saskatchewan,no,Red,no,N,5,Type 3,-8176273.84,7651864.99,612,2015," 12,503 "
111,no,Private Sector,2,2,1,1,Saskatchewan,no,Red,yes,N,5,Type 2,260384.11,0,0,2015, -   
112,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,1824516.98,381557.3,254,2015," 1,502 "
113,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,1992500.95,0,708,2015, -   
114,no,Private Sector,2,1,1,2,Ontario,no,Red,no,N,5,Type 3,-598128.76,1945767.49,250,2015," 7,783 "
115,no,Private Sector,1,1,1,2,Ontario,no,Red,yes,N,5,Type 3,2984189.4,2244370.79,380,2015," 5,906 "
116,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,122501.41,101720.25,254,2015, 400 
117,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 3,9633.88,0,252,2015, -   
118,no,Public Sector,1,1,1,1,Alberta,no,Green,yes,N,7,Type 3,199236.61,133519.95,12,2015," 11,127 "
119,no,Public Sector,1,1,1,1,Alberta,no,Green,yes,N,7,Type 3,838446.08,273611.78,77,2015," 3,553 "
120,no,Public Sector,1,1,1,1,Alberta,no,Green,yes,N,7,Type 3,468964.34,122742.4,59,2015," 2,080 "
121,no,Private Sector,1,1,1,2,Alberta,no,Red,yes,N,5,Type 3,1222181.27,974562.17,0,2015, -   
122,no,Public Sector,1,1,1,1,Alberta,no,Green,yes,N,7,Type 3,18744.54,122755.46,2243,2015, 55 
123,no,Public Sector,2,1,2,1,Alberta,no,Green,yes,N,7,Type 3,1210251.7,610266.68,128,2015," 4,768 "
124,no,Private Sector,1,1,1,2,Ontario,no,Red,yes,N,5,Type 3,9062258.09,7416512.75,0,2015, -   
125,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,723996.43,310603.87,47,2015," 6,609 "
126,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,238941,321260.1,162,2015," 1,983 "
127,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 3,447021.57,84115.15,161,2015, 522 
128,no,Public Sector,1,1,2,1,Alberta,no,Green,yes,N,7,Type 3,604894.31,308204.06,78,2015," 3,951 "
129,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,99475.13,56931.31,504,2015, 113 
130,no,Public Sector,1,1,2,1,Alberta,no,Green,yes,N,7,Type 3,922235.98,499659.29,26,2015," 19,218 "
131,no,Public Sector,1,1,1,1,Alberta,no,Green,yes,N,7,Type 3,1608090.16,530269.51,281,2015," 1,887 "
132,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,23781.56,38256.09,520,2015, 74 
133,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,8996.58,37031.31,483,2015, 77 
134,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,21118.34,48770.37,477,2015, 102 
135,no,Private Sector,3,2,1,1,Alberta,no,Red,yes,N,8,Type 2,3559922.59,11176445.41,434,2015," 25,752 "
136,no,Private Sector,3,2,1,1,Nova Scotia,no,Red,yes,N,8,Type 2,3254096.3,813876.45,448,2015," 1,817 "
137,no,Private Sector,1,2,1,1,Nova Scotia,no,Red,yes,N,8,Type 2,1801697.59,5852597.69,0,2015, -   
138,no,Private Sector,3,2,1,1,Nova Scotia,no,Red,yes,N,8,Type 2,545224.65,1878152,462,2015," 4,065 "
139,no,Private Sector,1,2,1,1,Alberta,no,Red,yes,N,8,Type 2,3143402.93,16161875.07,0,2015, -   
140,no,Private Sector,1,1,1,2,Alberta,no,Red,yes,N,1,Type 1,1025998.88,36332.73,476,2015, 76 
141,no,Private Sector,1,1,1,2,Alberta,no,Red,yes,N,1,Type 1,24163.05,0,474,2015, -   
142,no,Private Sector,1,2,1,1,Nova Scotia,no,Red,yes,Y,8,Type 2,0,-22500000,273,2016,"-82,418 "
143,no,Private Sector,2,1,1,3,Alberta,no,Yellow,no,N,7,Type 3,-4026.84,0,364,2016, -   
144,no,Public Sector,2,1,1,1,Ontario,no,Yellow,no,N,7,Type 3,996854.71,724198.7,903,2015, 802 
145,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,166709.03,105313.78,917,2015, 115 
146,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,154423.48,55594.91,188,2015, 296 
147,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,128110.79,62437.84,483,2015, 129 
148,yes,Public Sector,5,2,1,4,Ontario,yes,Yellow,no,N,15,Type 2,-128876203.6,52859045.33,1272,2015," 41,556 "
149,yes,Indirect Public/Utility,3,2,1,1,British Columbia,yes,Green,no,N,16,Type 2,26372463.25,39844974.09,1008,2015," 39,529 "
150,yes,Public Sector,5,2,1,1,Ontario,yes,Yellow,no,N,16,Type 2,20374383.39,18928072.4,920,2015," 20,574 "
151,yes,Public Sector,3,2,1,1,Ontario,yes,Yellow,no,N,15,Type 2,9166793,13017291,948,2015," 13,731 "
152,yes,Indirect Public/Utility,5,2,1,1,British Columbia,yes,Green,no,N,16,Type 2,66601878.23,38711957.99,97,2015," 399,092 "
153,no,Public Sector,5,2,1,1,Quebec,no,Yellow,no,N,17,Type 2,4516324.13,4243897.01,97,2015," 43,752 "
154,no,Public Sector,5,2,1,1,British Columbia,yes,Yellow,no,N,16,Type 2,49958425,39924106.67,97,2015," 411,589 "
155,no,Public Sector,5,2,1,1,Ontario,yes,Yellow,yes,N,15,Type 2,20793427.73,15729383.35,97,2015," 162,159 "
156,no,Public Sector,5,2,1,1,British Columbia,yes,Yellow,yes,N,16,Type 2,60099840.76,39351262.5,249,2015," 158,037 "
157,no,Public Sector,5,2,1,3,Alberta,no,Yellow,no,N,7,Type 2,122831716,141540626.6,412,2015," 343,545 "
158,no,Indirect Public/Utility,5,2,1,1,British Columbia,yes,Green,no,N,16,Type 2,42091097.96,16675609.44,1225,2015," 13,613 "
159,no,Public Sector,2,3,1,3,Ontario,yes,Yellow,no,N,17,Type 1,278849816.6,193813122.2,97,2015," 1,998,073 "
160,no,Public Sector,5,2,1,3,Quebec,yes,Yellow,no,N,7,Type 2,47280322.07,156674581.2,97,2015," 1,615,202 "
161,no,Public Sector,5,2,1,1,Quebec,yes,Yellow,no,N,17,Type 2,9253892.49,5006732.72,978,2015," 5,119 "
162,no,Public Sector,5,2,1,3,International,no,Yellow,no,N,18,Type 2,4246486,22324000.01,97,2015," 230,144 "
163,no,Public Sector,3,2,1,2,Ontario,no,Yellow,yes,N,15,Type 2,-62629.26,0,99,2015, -   
164,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,87811.51,335832,135,2016," 2,488 "
165,no,Private Sector,3,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,39501.99,21385.19,260,2016, 82 
166,no,Private Sector,3,2,1,2,Alberta,no,Yellow,yes,N,17,Type 2,55492.49,0,97,2015, -   
167,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,50312,-842619.63,456,2015,"-1,848 "
168,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,21378.34,19296,254,2016, 76 
169,no,Public Sector,3,2,1,1,Ontario,no,Yellow,yes,N,15,Type 2,3417474.88,11372182.57,462,2015," 24,615 "
170,no,Public Sector,3,2,1,1,Ontario,no,Yellow,yes,N,15,Type 2,2899999.73,2900000,477,2015," 6,080 "
171,no,Public Sector,3,2,1,1,Ontario,no,Yellow,yes,N,15,Type 1,4365458.99,0,475,2015, -   
172,no,Public Sector,3,2,1,1,Ontario,no,Yellow,yes,N,15,Type 2,3520863.05,-0.12,454,2015,-0 
173,no,Public Sector,2,4,1,1,Ontario,no,Yellow,no,N,15,Type 5,13850108.61,8860087.79,491,2015," 18,045 "
174,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,15,Type 1,-759244.59,0,475,2015, -   
175,no,Public Sector,3,2,1,1,Ontario,no,Yellow,yes,N,15,Type 2,1352707,0,462,2015, -   
176,no,Public Sector,3,2,1,1,Ontario,no,Yellow,yes,N,15,Type 2,804679.82,972749.32,475,2015," 2,048 "
177,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 3,129900.47,37282.99,456,2015, 82 
178,no,Private Sector,3,2,1,1,Nova Scotia,no,Red,yes,N,8,Type 2,396379.62,4828342,335,2016," 14,413 "
179,no,Public Sector,3,2,1,1,Ontario,no,Yellow,no,N,15,Type 2,114795.64,-54175228.5,798,2015,"-67,889 "
180,no,Public Sector,3,2,1,1,Ontario,no,Yellow,yes,N,15,Type 2,1.96,0,551,2015, -   
181,no,Indirect Public/Utility,2,4,1,1,Ontario,no,Yellow,yes,N,19,Type 5,1018590.09,-5227921.64,188,2015,"-27,808 "
182,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,78231.32,25157.11,433,2015, 58 
183,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,216318.71,0,67,2015, -   
184,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,-5041.27,10492.83,158,2015, 66 
185,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,250479.1,39999.99,158,2015, 253 
186,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,-42977.51,10000,189,2015, 53 
187,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,31357.66,40000,189,2015, 212 
188,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 2,31502.64,7213.13,67,2015, 108 
189,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,50630.9,28202.02,36,2015, 783 
190,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,32090.68,29638.71,1924,2015, 15 
191,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,183254.78,53193.44,0,2015, -   
192,no,Private Sector,1,4,1,1,Ontario,no,Yellow,yes,N,7,Type 3,0,15135.43,67,2015, 226 
193,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,12406991.23,6561897.92,97,2015," 67,648 "
194,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,11813116.79,6908152.73,97,2015," 71,218 "
195,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,1557809.69,697834.96,97,2015," 7,194 "
